acq_date,lat,lon,frp
2026-04-13,34.60579,-117.3366,1.21
2026-04-13,34.81609,-118.44765,0.79
2026-04-13,33.85304,-118.33068,1.97
2026-04-13,33.85386,-118.33427,2.34
2026-04-13,34.60593,-117.33543,1.6
2026-04-13,34.60896,-117.33681,2.14
2026-04-13,39.88437,-122.5394,3.83
2026-04-13,39.8861,-122.53955,5.15
2026-04-13,39.95486,-122.26869,4.86
2026-04-13,39.88588,-122.53753,3.25
2026-04-13,39.88673,-122.54041,2.21
2026-04-14,33.77737,-118.23993,0.8
2026-04-14,33.81339,-118.23868,1.57
2026-04-14,33.82039,-118.24538,0.77
2026-04-14,33.85082,-118.3368,1.15
2026-04-14,33.85189,-118.33607,1.33
2026-04-14,34.60909,-117.33764,1.25
2026-04-14,34.81226,-118.44714,3.19
2026-04-14,34.8125,-118.45461,3.19
2026-04-14,34.81263,-118.44505,3.22
2026-04-14,34.81284,-118.45255,5.38
2026-04-14,33.79519,-117.47556,0.73
2026-04-14,33.85407,-118.33002,0.77
2026-04-14,33.85492,-118.33349,1.23
2026-04-14,34.03622,-118.10477,0.3
2026-04-14,34.15213,-118.19149,0.65
2026-04-14,34.33324,-118.51782,1.35
2026-04-14,34.43144,-118.64349,0.96
2026-04-14,34.60854,-117.33623,1.94
2026-04-14,34.62067,-117.10231,0.94
2026-04-14,34.62157,-117.10063,1.27
2026-04-14,34.81203,-118.44933,6.66
2026-04-14,34.8168,-118.44757,1.38
2026-04-14,37.94335,-122.39555,1.11
2026-04-14,33.49308,-117.61735,0.42
2026-04-14,32.67775,-115.55169,1.91
2026-04-14,32.67872,-115.54785,1.91
2026-04-14,33.16041,-115.85217,15.17
2026-04-14,33.1614,-115.84827,13.15
2026-04-14,33.27394,-115.51332,4.15
2026-04-14,33.60162,-116.06261,0.76
2026-04-14,34.1339,-118.05305,4.26
2026-04-14,34.81198,-118.44768,7.89
2026-04-14,38.63987,-121.99686,2.62
2026-04-14,38.68364,-119.82162,8.44
2026-04-14,38.6848,-119.81753,14.82
2026-04-14,38.68599,-119.81332,14.82
2026-04-14,34.81522,-118.44574,13.31
2026-04-14,37.36721,-120.66813,1.65
2026-04-14,38.68087,-119.81338,3.88
2026-04-14,38.68089,-119.81586,6.57
2026-04-14,38.68613,-119.82078,6.57
2026-04-14,38.6864,-119.81554,6.57
2026-04-14,38.96582,-122.9484,51.11
2026-04-14,40.24454,-123.35998,16.89
2026-04-14,40.24908,-123.36106,16.89
2026-04-15,36.35464,-114.91518,1.59
2026-04-15,39.4922,-119.62176,0.55
2026-04-15,34.608,-117.33717,2.01
2026-04-15,34.62033,-117.10026,0.66
2026-04-15,34.62219,-117.10195,0.78
2026-04-15,34.81412,-118.44935,2.82
2026-04-15,36.35815,-114.90915,1.7
2026-04-15,36.38355,-114.87733,0.65
2026-04-15,37.18449,-121.68064,0.35
2026-04-15,37.88203,-121.18784,0.49
2026-04-15,37.94471,-122.39332,0.6
2026-04-15,38.01483,-122.11121,0.69
2026-04-15,38.01554,-122.11557,0.69
2026-04-15,38.21581,-121.98624,0.38
2026-04-15,38.44952,-121.45979,0.63
2026-04-15,38.51335,-121.19118,0.36
2026-04-15,32.85863,-117.14807,0.49
2026-04-15,32.90825,-115.46165,1.39
2026-04-15,33.61369,-117.82258,0.84
2026-04-15,33.71667,-117.70998,1.13
2026-04-15,33.77654,-118.23739,1.05
2026-04-15,33.79438,-117.47346,1.22
2026-04-15,33.85328,-118.3329,1.59
2026-04-15,33.9259,-118.42712,0.37
2026-04-15,34.03459,-118.10406,0.32
2026-04-15,34.07887,-117.50021,0.89
2026-04-15,34.15499,-118.19454,1.23
2026-04-15,34.32394,-118.52779,0.8
2026-04-15,34.334,-118.51825,1.73
2026-04-15,34.43025,-118.64706,1.88
2026-04-15,33.15796,-115.85539,10.41
2026-04-15,33.15805,-115.85046,16.66
2026-04-15,33.16006,-115.84843,10.41
2026-04-15,33.27536,-115.51201,3.99
2026-04-15,32.85482,-115.74138,12.86
2026-04-15,33.15845,-115.85165,16.2
2026-04-15,33.16254,-115.85076,17.4
2026-04-15,33.27362,-115.51797,7.95
2026-04-15,33.27412,-115.51113,7.95
2026-04-15,33.27556,-115.51671,7.1
2026-04-15,33.2761,-115.50988,10.35
2026-04-15,34.81458,-118.44589,4.99
2026-04-15,35.53225,-115.45007,0.81
2026-04-15,35.53745,-115.45052,0.81
2026-04-15,35.55716,-115.46841,2.11
2026-04-15,35.57708,-115.48261,0.79
2026-04-15,36.63723,-119.89339,4.12
2026-04-15,36.64132,-119.89401,4.12
2026-04-15,38.35521,-121.56721,16.3
2026-04-15,38.35731,-121.56573,13.3
2026-04-15,38.35904,-121.56786,16.3
2026-04-15,38.36113,-121.56638,13.3
2026-04-15,38.54021,-122.57385,5.27
2026-04-15,38.55193,-121.90649,1.36
2026-04-15,38.79583,-121.88142,168.3
2026-04-15,38.90016,-121.97431,3.86
2026-04-15,38.90771,-121.97568,18.81
2026-04-15,38.90837,-121.9698,18.81
2026-04-15,39.0479,-120.72948,5.15
2026-04-16,40.50477,-123.77159,0.8
2026-04-16,40.82332,-114.25506,1.03
2026-04-16,36.35804,-114.90997,0.99
2026-04-16,36.38482,-114.87669,0.72
2026-04-16,36.40815,-114.96213,0.21
2026-04-16,36.66373,-120.1327,0.54
2026-04-16,36.70258,-119.89386,0.42
2026-04-16,36.71328,-121.76999,0.35
2026-04-16,36.88681,-120.18184,0.71
2026-04-16,37.88415,-121.18797,0.83
2026-04-16,38.21619,-121.98708,0.26
2026-04-16,38.51408,-121.19457,0.34
2026-04-16,38.79699,-121.88371,1.72
2026-04-16,38.79765,-121.88919,1.72
2026-04-16,38.90792,-121.97271,0.71
2026-04-16,34.33553,-118.51899,0.93
2026-04-16,34.43016,-118.64477,1.09
2026-04-16,34.60771,-117.33602,1.14
2026-04-16,34.62277,-117.1004,1.09
2026-04-16,34.81322,-118.44868,0.88
2026-04-16,34.33537,-118.5186,2.08
2026-04-16,34.42989,-118.645,2.65
2026-04-16,34.7045,-117.95596,24.85
2026-04-16,34.8148,-118.44942,6.79
2026-04-16,34.81541,-118.44485,6.79
2026-04-16,35.4234,-119.2732,4.18
2026-04-16,36.04917,-121.00474,5.46
2026-04-16,36.05247,-121.00549,5.46
2026-04-16,36.05311,-121.00124,5.46
2026-04-16,36.73965,-119.78304,2.09
2026-04-16,36.78867,-118.66353,15.68
2026-04-16,36.78928,-118.65885,15.68
2026-04-16,36.79211,-118.66443,15.68
2026-04-16,36.79436,-118.67455,10.28
2026-04-16,37.70015,-120.71333,3.92
2026-04-16,37.78328,-121.05286,2.21
2026-04-16,38.11443,-121.35213,0.79
2026-04-16,38.26913,-120.32021,2.74
2026-04-16,38.57397,-122.8858,2.2
2026-04-16,39.18091,-121.14834,1.92
2026-04-16,39.89405,-122.08213,7.54
2026-04-16,39.89472,-122.07765,7.54
2026-04-16,39.95985,-122.71751,4.12
2026-04-16,40.04214,-123.42791,2.17
2026-04-16,40.04544,-123.42883,5.93
2026-04-16,40.04944,-123.42528,5.93
2026-04-16,40.05016,-123.42084,2.31
2026-04-16,40.07466,-122.14303,2.12
2026-04-16,40.23549,-121.76688,1.69
2026-04-16,40.23615,-121.76237,5.03
2026-04-16,40.24276,-121.76397,4.14
2026-04-16,40.45063,-123.77893,30.3
2026-04-16,40.50377,-123.77017,24.26
2026-04-16,41.20678,-123.69996,4.92
2026-04-16,41.47738,-120.637,4.84
2026-04-07,40.82058,-114.25467,1.88
2026-04-07,36.35694,-114.91342,1.53
2026-04-07,36.38273,-114.87495,0.5
2026-04-07,33.49123,-117.61789,0.73
2026-04-07,33.49224,-117.61584,0.59
2026-04-07,33.61135,-117.82348,0.69
2026-04-07,33.71505,-117.71219,1.17
2026-04-07,33.71511,-117.71058,1.55
2026-04-07,33.7787,-118.23734,1.14
2026-04-07,33.79223,-117.47798,0.7
2026-04-07,33.82005,-118.24497,1.11
2026-04-07,33.97617,-117.59699,1.08
2026-04-07,33.97665,-117.60154,25.37
